
@RELATION joint

@ATTRIBUTE attr_0           STRING
@ATTRIBUTE attr_1           STRING
@ATTRIBUTE attr_2           STRING
@ATTRIBUTE attr_3           STRING
@ATTRIBUTE attr_4           STRING
@ATTRIBUTE attr_5           STRING
@ATTRIBUTE attr_6           STRING
@ATTRIBUTE attr_7           STRING
@ATTRIBUTE firstword        {0,1}
@ATTRIBUTE lastword         {0,1}
@ATTRIBUTE word             string
@ATTRIBUTE wordsafter       NUMERIC
@ATTRIBUTE wordsafterperc   NUMERIC
@ATTRIBUTE wordsbefore      NUMERIC
@ATTRIBUTE wordsbeforeperc  NUMERIC

@ATTRIBUTE class        {0,1,2,3,4}

@DATA
N,C,F,P,0,0,0,0,0,0,restricciones,3,0.5,2,0.333333333333,2
S,P,S,0,0,0,0,0,0,0,en,2,0.333333333333,3,0.5,1
D,A,0,F,S,0,0,0,0,0,la,1,0.166666666667,4,0.666666666667,1
N,C,F,S,0,0,0,0,0,1,cueva,0,0.0,5,0.833333333333,4
V,M,I,S,3,P,0,0,1,0,Difundieron,2,0.666666666667,0,0.0,1
N,C,F,P,0,0,0,0,0,0,declaraciones,1,0.333333333333,1,0.333333333333,1
A,Q,0,F,P,0,0,0,0,1,incendiarias,0,0.0,2,0.666666666667,4
D,A,0,M,S,0,0,0,1,0,El,5,0.833333333333,0,0.0,0
V,M,P,0,0,S,M,0,0,0,abigarrado,4,0.666666666667,1,0.166666666667,1
N,C,M,S,0,0,0,0,0,0,texto,3,0.5,2,0.333333333333,3
V,M,I,P,3,S,0,0,0,0,complace,2,0.333333333333,3,0.5,0
S,P,S,0,0,0,0,0,0,0,al,1,0.166666666667,4,0.666666666667,0
N,C,M,S,0,0,0,0,0,1,lector,0,0.0,5,0.833333333333,4
D,A,0,M,S,0,0,0,1,0,El,6,0.857142857143,0,0.0,0
N,C,M,S,0,0,0,0,0,0,ambiente,5,0.714285714286,1,0.142857142857,3
V,M,I,I,1,S,0,0,0,0,ofrecía,4,0.571428571429,2,0.285714285714,1
A,Q,0,C,S,0,0,0,0,0,gran,3,0.428571428571,3,0.428571428571,1
N,C,F,S,0,0,0,0,0,0,variedad,2,0.285714285714,4,0.571428571429,2
S,P,S,0,0,0,0,0,0,0,de,1,0.142857142857,5,0.714285714286,1
N,C,M,P,0,0,0,0,0,1,recursos,0,0.0,6,0.857142857143,4
D,A,0,M,S,0,0,0,1,0,El,4,0.8,0,0.0,0
N,C,M,S,0,0,0,0,0,0,atletismo,3,0.6,1,0.2,3
V,M,I,P,3,S,0,0,0,0,comparte,2,0.4,2,0.4,0
D,A,0,M,S,0,0,0,0,0,el,1,0.2,3,0.6,0
N,C,M,S,0,0,0,0,0,1,honor,0,0.0,4,0.8,4
D,A,0,M,S,0,0,0,1,0,El,9,0.9,0,0.0,1
N,C,M,S,0,0,0,0,0,0,billete,8,0.8,1,0.1,2
S,P,S,0,0,0,0,0,0,0,de,7,0.7,2,0.2,1
Z,0,0,0,0,0,0,0,0,0,cien,6,0.6,3,0.3,3
V,M,I,F,3,S,0,0,0,0,aparecerá,5,0.5,4,0.4,1
S,P,S,0,0,0,0,0,0,0,antes,4,0.4,5,0.5,3
S,P,S,0,0,0,0,0,0,0,de,3,0.3,6,0.6,1
N,C,M,S,0,0,0,0,0,0,fin,2,0.2,7,0.7,2
S,P,S,0,0,0,0,0,0,0,de,1,0.1,8,0.8,0
N,C,M,S,0,0,0,0,0,1,año,0,0.0,9,0.9,4
D,A,0,M,S,0,0,0,1,0,El,7,0.875,0,0.0,1
N,C,M,S,0,0,0,0,0,0,blanco,6,0.75,1,0.125,4
V,M,I,P,3,S,0,0,0,0,requiere,5,0.625,2,0.25,0
D,I,0,M,S,0,0,0,0,0,un,4,0.5,3,0.375,1
N,C,M,S,0,0,0,0,0,0,paso,3,0.375,4,0.5,1
A,Q,0,C,S,0,0,0,0,0,breve,2,0.25,5,0.625,3
S,P,S,0,0,0,0,0,0,0,por,1,0.125,6,0.75,1
N,C,F,S,0,0,0,0,0,1,madera,0,0.0,7,0.875,4
D,A,0,M,S,0,0,0,1,0,El,5,0.833333333333,0,0.0,1
N,C,M,S,0,0,0,0,0,0,cabernet,4,0.666666666667,1,0.166666666667,1
V,S,I,P,3,S,0,0,0,0,es,3,0.5,2,0.333333333333,0
A,Q,0,C,S,0,0,0,0,0,ideal,2,0.333333333333,3,0.5,3
S,P,S,0,0,0,0,0,0,0,para,1,0.166666666667,4,0.666666666667,1
N,C,F,P,0,0,0,0,0,1,carnes,0,0.0,5,0.833333333333,4
D,A,0,M,S,0,0,0,1,0,El,9,0.9,0,0.0,1
N,C,M,S,0,0,0,0,0,0,cambio,8,0.8,1,0.1,2
S,P,S,0,0,0,0,0,0,0,de,7,0.7,2,0.2,1
D,A,0,F,P,0,0,0,0,0,las,6,0.6,3,0.3,1
N,C,F,P,0,0,0,0,0,0,costumbres,5,0.5,4,0.4,4
V,S,I,P,3,S,0,0,0,0,es,4,0.4,5,0.5,1
D,I,0,C,S,0,0,0,0,0,cada,3,0.3,6,0.6,1
N,C,F,S,0,0,0,0,0,0,vez,2,0.2,7,0.7,1
R,G,0,0,0,0,0,0,0,0,más,1,0.1,8,0.8,1
A,Q,0,M,S,0,0,0,0,1,rápido,0,0.0,9,0.9,4
D,A,0,M,S,0,0,0,1,0,El,6,0.857142857143,0,0.0,1
N,C,M,S,0,0,0,0,0,0,cocinero,5,0.714285714286,1,0.142857142857,3
V,M,I,S,3,S,0,0,0,0,cortó,4,0.571428571429,2,0.285714285714,1
D,A,0,F,S,0,0,0,0,0,la,3,0.428571428571,3,0.428571428571,1
N,C,F,S,0,0,0,0,0,0,torta,2,0.285714285714,4,0.571428571429,3
S,P,S,0,0,0,0,0,0,0,con,1,0.142857142857,5,0.714285714286,1
N,C,M,S,0,0,0,0,0,1,cuchillo,0,0.0,6,0.857142857143,4
D,A,0,M,S,0,0,0,1,0,El,5,0.833333333333,0,0.0,1
N,C,M,S,0,0,0,0,0,0,colegio,4,0.666666666667,1,0.166666666667,1
A,Q,0,C,S,0,0,0,0,0,municipal,3,0.5,2,0.333333333333,3
V,M,I,P,3,S,0,0,0,0,brinda,2,0.333333333333,3,0.5,3
N,C,F,S,0,0,0,0,0,0,educación,1,0.166666666667,4,0.666666666667,1
A,Q,0,F,S,0,0,0,0,1,primaria,0,0.0,5,0.833333333333,4
D,A,0,M,S,0,0,0,1,0,El,9,0.9,0,0.0,1
N,C,M,S,0,0,0,0,0,0,conjunto,8,0.8,1,0.1,2
S,P,S,0,0,0,0,0,0,0,de,7,0.7,2,0.2,1
D,A,0,F,P,0,0,0,0,0,las,6,0.6,3,0.3,0
N,C,F,P,0,0,0,0,0,0,escenas,5,0.5,4,0.4,4
P,0,0,0,0,0,0,0,0,0,se,4,0.4,5,0.5,1
V,M,I,P,3,S,0,0,0,0,reitera,3,0.3,6,0.6,1
S,P,S,0,0,0,0,0,0,0,en,2,0.2,7,0.7,0
D,A,0,M,S,0,0,0,0,0,el,1,0.1,8,0.8,1
N,C,M,S,0,0,0,0,0,1,galpón,0,0.0,9,0.9,4
D,A,0,M,S,0,0,0,1,0,El,3,0.75,0,0.0,1
N,C,M,S,0,0,0,0,0,0,contexto,2,0.5,1,0.25,3
V,S,I,S,3,S,0,0,0,0,fue,1,0.25,2,0.5,1
A,Q,0,C,S,0,0,0,0,1,disímil,0,0.0,3,0.75,4
D,A,0,M,S,0,0,0,1,0,El,4,0.8,0,0.0,1
N,C,M,S,0,0,0,0,0,0,crimen,3,0.6,1,0.2,3
V,M,I,S,3,S,0,0,0,0,impulsó,2,0.4,2,0.4,0
D,I,0,F,S,0,0,0,0,0,una,1,0.2,3,0.6,1
N,C,F,S,0,0,0,0,0,1,manifestación,0,0.0,4,0.8,4
D,A,0,M,S,0,0,0,1,0,El,6,0.857142857143,0,0.0,1
N,C,M,S,0,0,0,0,0,0,dulce,5,0.714285714286,1,0.142857142857,2
S,P,S,0,0,0,0,0,0,0,de,4,0.571428571429,2,0.285714285714,1
N,C,F,S,0,0,0,0,0,0,leche,3,0.428571428571,3,0.428571428571,4
V,S,I,P,3,S,0,0,0,0,es,2,0.285714285714,4,0.571428571429,1
R,G,0,0,0,0,0,0,0,0,bien,1,0.142857142857,5,0.714285714286,0
A,Q,0,M,S,0,0,0,0,1,argentino,0,0.0,6,0.857142857143,4
D,A,0,M,S,0,0,0,1,0,El,11,0.916666666667,0,0.0,1
N,C,M,S,0,0,0,0,0,0,futbol,10,0.833333333333,1,0.0833333333333,4
D,A,0,M,S,0,0,0,0,0,el,9,0.75,2,0.166666666667,1
N,C,M,S,0,0,0,0,0,0,box,8,0.666666666667,3,0.25,0
C,C,0,0,0,0,0,0,0,0,y,7,0.583333333333,4,0.333333333333,0
D,A,0,M,S,0,0,0,0,0,el,6,0.5,5,0.416666666667,1
N,C,M,S,0,0,0,0,0,0,tenis,5,0.416666666667,6,0.5,4
V,S,I,P,3,P,0,0,0,0,son,4,0.333333333333,7,0.583333333333,1
D,A,0,M,P,0,0,0,0,0,los,3,0.25,8,0.666666666667,1
N,C,M,P,0,0,0,0,0,0,deportes,2,0.166666666667,9,0.75,1
S,P,S,0,0,0,0,0,0,0,del,1,0.0833333333333,10,0.833333333333,1
N,C,M,S,0,0,0,0,0,1,siglo,0,0.0,11,0.916666666667,4
D,A,0,M,S,0,0,0,1,0,El,5,0.833333333333,0,0.0,1
N,C,M,S,0,0,0,0,0,0,girasol,4,0.666666666667,1,0.166666666667,4
R,G,0,0,0,0,0,0,0,0,también,3,0.5,2,0.333333333333,1
V,M,I,S,3,S,0,0,0,0,padeció,2,0.333333333333,3,0.5,1
D,A,0,F,S,0,0,0,0,0,la,1,0.166666666667,4,0.666666666667,1
N,C,F,S,0,0,0,0,0,1,sequía,0,0.0,5,0.833333333333,4
D,A,0,M,S,0,0,0,1,0,El,5,0.833333333333,0,0.0,1
N,C,M,S,0,0,0,0,0,0,globo,4,0.666666666667,1,0.166666666667,3
V,M,I,S,3,S,0,0,0,0,subió,3,0.5,2,0.333333333333,2
S,P,S,0,0,0,0,0,0,0,por,2,0.333333333333,3,0.5,1
D,A,0,F,S,0,0,0,0,0,la,1,0.166666666667,4,0.666666666667,1
N,C,F,S,0,0,0,0,0,1,chimenea,0,0.0,5,0.833333333333,4
D,A,0,M,S,0,0,0,1,0,El,8,0.888888888889,0,0.0,1
N,C,M,S,0,0,0,0,0,0,gremio,7,0.777777777778,1,0.111111111111,2
S,P,S,0,0,0,0,0,0,0,de,6,0.666666666667,2,0.222222222222,1
N,C,C,P,0,0,0,0,0,0,docentes,5,0.555555555556,3,0.333333333333,3
V,M,I,S,3,S,0,0,0,0,convocó,4,0.444444444444,4,0.444444444444,1
S,P,S,0,0,0,0,0,0,0,a,3,0.333333333333,5,0.555555555556,0
D,I,0,M,S,0,0,0,0,0,un,2,0.222222222222,6,0.666666666667,1
N,C,M,S,0,0,0,0,0,0,paro,1,0.111111111111,7,0.777777777778,1
A,Q,0,C,S,0,0,0,0,1,nacional,0,0.0,8,0.888888888889,4
D,A,0,M,S,0,0,0,1,0,El,5,0.833333333333,0,0.0,0
N,C,M,S,0,0,0,0,0,0,laurel,4,0.666666666667,1,0.166666666667,4
V,S,I,P,3,S,0,0,0,0,es,3,0.5,2,0.333333333333,0
D,I,0,F,S,0,0,0,0,0,una,2,0.333333333333,3,0.5,1
N,C,F,S,0,0,0,0,0,0,planta,1,0.166666666667,4,0.666666666667,0
A,Q,0,F,S,0,0,0,0,1,aromática,0,0.0,5,0.833333333333,4
D,A,0,M,S,0,0,0,1,0,El,6,0.857142857143,0,0.0,1
N,C,M,S,0,0,0,0,0,0,motor,5,0.714285714286,1,0.142857142857,3
V,M,I,P,3,S,0,0,0,0,levanta,4,0.571428571429,2,0.285714285714,3
D,I,0,F,P,0,0,0,0,0,muchas,3,0.428571428571,3,0.428571428571,1
N,C,F,P,0,0,0,0,0,0,revoluciones,2,0.285714285714,4,0.571428571429,2
S,P,S,0,0,0,0,0,0,0,de,1,0.142857142857,5,0.714285714286,1
N,C,M,S,0,0,0,0,0,1,golpe,0,0.0,6,0.857142857143,4
D,A,0,M,S,0,0,0,1,0,El,7,0.875,0,0.0,1
N,C,M,S,0,0,0,0,0,0,nieto,6,0.75,1,0.125,3
P,0,0,0,0,0,0,0,0,0,se,5,0.625,2,0.25,1
V,M,I,S,3,S,0,0,0,0,puso,4,0.5,3,0.375,1
D,A,0,F,S,0,0,0,0,0,la,3,0.375,4,0.5,1
N,C,F,S,0,0,0,0,0,0,boina,2,0.25,5,0.625,2
S,P,S,0,0,0,0,0,0,0,con,1,0.125,6,0.75,1
N,C,F,S,0,0,0,0,0,1,bronca,0,0.0,7,0.875,4
D,A,0,M,S,0,0,0,1,0,El,7,0.875,0,0.0,1
N,C,M,S,0,0,0,0,0,0,partido,6,0.75,1,0.125,3
N,C,F,S,0,0,0,0,0,0,lucha,5,0.625,2,0.25,1
S,P,S,0,0,0,0,0,0,0,contra,4,0.5,3,0.375,0
D,A,0,M,S,0,0,0,0,0,el,3,0.375,4,0.5,0
N,C,M,S,0,0,0,0,0,0,estigma,2,0.25,5,0.625,2
S,P,S,0,0,0,0,0,0,0,del,1,0.125,6,0.75,1
N,C,M,S,0,0,0,0,0,1,fraude,0,0.0,7,0.875,4
D,A,0,M,S,0,0,0,1,0,El,10,0.909090909091,0,0.0,1
N,C,M,S,0,0,0,0,0,0,poeta,9,0.818181818182,1,0.0909090909091,3
V,M,I,P,3,S,0,0,0,0,escribe,8,0.727272727273,2,0.181818181818,1
D,P,3,C,P,0,0,0,0,0,sus,7,0.636363636364,3,0.272727272727,1
N,C,M,P,0,0,0,0,0,0,versos,6,0.545454545455,4,0.363636363636,3
S,P,S,0,0,0,0,0,0,0,a,5,0.454545454545,5,0.454545454545,1
D,A,0,F,S,0,0,0,0,0,la,4,0.363636363636,6,0.545454545455,1
N,C,F,S,0,0,0,0,0,0,sombra,3,0.272727272727,7,0.636363636364,2
S,P,S,0,0,0,0,0,0,0,de,2,0.181818181818,8,0.727272727273,0
D,I,0,M,S,0,0,0,0,0,un,1,0.0909090909091,9,0.818181818182,1
N,C,M,S,0,0,0,0,0,1,sauce,0,0.0,10,0.909090909091,4
D,A,0,M,S,0,0,0,1,0,El,7,0.875,0,0.0,1
N,C,M,S,0,0,0,0,0,0,precio,6,0.75,1,0.125,3
V,S,I,P,3,S,0,0,0,0,es,5,0.625,2,0.25,0
D,I,0,M,S,0,0,0,0,0,un,4,0.5,3,0.375,1
N,C,M,S,0,0,0,0,0,0,factor,3,0.375,4,0.5,0
A,Q,0,C,S,0,0,0,0,0,importante,2,0.25,5,0.625,2
S,P,S,0,0,0,0,0,0,0,de,1,0.125,6,0.75,1
N,C,F,S,0,0,0,0,0,1,compra,0,0.0,7,0.875,4
D,A,0,M,S,0,0,0,1,0,El,6,0.857142857143,0,0.0,1
N,C,C,S,0,0,0,0,0,0,premier,5,0.714285714286,1,0.142857142857,0
A,Q,0,M,S,0,0,0,0,0,ruso,4,0.571428571429,2,0.285714285714,4
V,M,I,S,3,S,0,0,0,0,advirtió,3,0.428571428571,3,0.428571428571,2
S,P,S,0,0,0,0,0,0,0,sobre,2,0.285714285714,4,0.571428571429,1
D,A,0,F,S,0,0,0,0,0,la,1,0.142857142857,5,0.714285714286,1
N,C,F,S,0,0,0,0,0,1,censura,0,0.0,6,0.857142857143,4
D,A,0,M,S,0,0,0,1,0,El,6,0.857142857143,0,0.0,1
N,C,M,S,0,0,0,0,0,0,presidente,5,0.714285714286,1,0.142857142857,3
V,M,I,P,3,S,0,0,0,0,desea,4,0.571428571429,2,0.285714285714,0
V,M,N,0,0,0,0,0,0,0,inaugurarla,3,0.428571428571,3,0.428571428571,4
S,P,S,0,0,0,0,0,0,0,antes,2,0.285714285714,4,0.571428571429,1
S,P,S,0,0,0,0,0,0,0,de,1,0.142857142857,5,0.714285714286,0
V,M,N,0,0,0,0,0,0,1,irse,0,0.0,6,0.857142857143,4
D,A,0,M,S,0,0,0,1,0,El,5,0.833333333333,0,0.0,1
N,C,M,S,0,0,0,0,0,0,presidente,4,0.666666666667,1,0.166666666667,3
P,P,3,F,S,A,0,0,0,0,la,3,0.5,2,0.333333333333,1
V,M,I,P,3,S,0,0,0,0,llama,2,0.333333333333,3,0.5,4
N,C,F,S,0,0,0,0,0,0,tormenta,1,0.166666666667,4,0.666666666667,1
A,Q,0,C,S,0,0,0,0,1,regional,0,0.0,5,0.833333333333,4
D,A,0,M,S,0,0,0,1,0,El,9,0.9,0,0.0,1
