
@RELATION joint

@ATTRIBUTE attr_0           STRING
@ATTRIBUTE attr_1           STRING
@ATTRIBUTE attr_2           STRING
@ATTRIBUTE attr_3           STRING
@ATTRIBUTE attr_4           STRING
@ATTRIBUTE attr_5           STRING
@ATTRIBUTE attr_6           STRING
@ATTRIBUTE attr_7           STRING
@ATTRIBUTE endswith         STRING
@ATTRIBUTE firstword        STRING
@ATTRIBUTE lastword         STRING
@ATTRIBUTE length           NUMERIC
@ATTRIBUTE nextisverb       STRING
@ATTRIBUTE nextlength       NUMERIC
@ATTRIBUTE nextstartswith   STRING
@ATTRIBUTE nextword         STRING
@ATTRIBUTE word             STRING
@ATTRIBUTE wordsafter       NUMERIC
@ATTRIBUTE wordsafterperc   NUMERIC
@ATTRIBUTE wordsbefore      NUMERIC
@ATTRIBUTE wordsbeforeperc  NUMERIC

@ATTRIBUTE class        {0,1,2,3,4}

@DATA
V,M,N,0,0,0,0,0,C,False,True,5,False,0,N,1r03r03032,robar,0,0.0,7,0.875,4
R,G,0,0,0,0,0,0,C,True,False,6,True,8,C,confirmó,Además,6,0.857142857143,0,0.0,3
V,M,I,S,3,S,0,0,C,False,False,8,False,2,C,lo,confirmó,5,0.714285714286,1,0.142857142857,0
D,A,0,N,S,0,0,0,V,False,False,2,False,3,C,que,lo,4,0.571428571429,2,0.285714285714,0
P,R,0,C,N,0,0,0,V,False,False,3,True,9,C,predecían,que,3,0.428571428571,3,0.428571428571,0
V,M,I,I,3,P,0,0,C,False,False,9,False,3,C,las,predecían,2,0.285714285714,4,0.571428571429,2
D,A,0,F,P,0,0,0,C,False,False,3,False,11,C,matemáticas,las,1,0.142857142857,5,0.714285714286,1
N,C,F,P,0,0,0,0,C,False,True,11,False,0,N,1r03r03032,matemáticas,0,0.0,6,0.857142857143,4
N,P,0,0,0,0,0,0,V,True,False,10,False,7,C,prófugo,Bernasconi,1,0.5,0,0.0,4
A,Q,0,M,S,0,0,0,V,False,True,7,False,0,N,1r03r03032,prófugo,0,0.0,1,0.5,4
N,P,0,0,0,0,0,0,V,True,False,5,True,5,C,sentó,Bruno,9,0.9,0,0.0,3
V,M,I,S,3,S,0,0,C,False,False,5,False,3,C,sus,sentó,8,0.8,1,0.1,1
D,P,3,C,P,0,0,0,C,False,False,3,False,6,C,reales,sus,7,0.7,2,0.2,1
A,Q,0,C,P,0,0,0,C,False,False,6,False,5,C,sobre,reales,6,0.6,3,0.3,4
S,P,S,0,0,0,0,0,V,False,False,5,False,2,C,la,sobre,5,0.5,4,0.4,0
D,A,0,F,S,0,0,0,V,False,False,2,False,6,C,margen,la,4,0.4,5,0.5,0
N,C,C,S,0,0,0,0,C,False,False,6,False,8,V,oriental,margen,3,0.3,6,0.6,0
A,Q,0,C,S,0,0,0,C,False,False,8,False,3,C,del,oriental,2,0.2,7,0.7,2
S,P,S,0,0,0,0,0,C,False,False,3,False,3,C,río,del,1,0.1,8,0.8,2
N,C,M,S,0,0,0,0,V,False,True,3,False,0,N,1r03r03032,río,0,0.0,9,0.9,4
D,I,0,C,S,0,0,0,V,True,False,4,False,6,C,camión,Cada,8,0.888888888889,0,0.0,1
N,C,M,S,0,0,0,0,C,False,False,6,False,5,C,carga,camión,7,0.777777777778,1,0.111111111111,2
N,C,F,S,0,0,0,0,V,False,False,5,False,5,V,entre,carga,6,0.666666666667,2,0.222222222222,0
S,P,S,0,0,0,0,0,V,False,False,5,False,6,C,quince,entre,5,0.555555555556,3,0.333333333333,1
Z,0,0,0,0,0,0,0,V,False,False,6,False,1,C,y,quince,4,0.444444444444,4,0.444444444444,0
C,C,0,0,0,0,0,0,C,False,False,1,False,6,C,veinte,y,3,0.333333333333,5,0.555555555556,1
Z,m,0,0,0,0,0,0,V,False,False,6,False,3,C,mil,veinte,2,0.222222222222,6,0.666666666667,1
Z,m,0,0,0,0,0,0,C,False,False,3,False,5,C,pesos,mil,1,0.111111111111,7,0.777777777778,2
Z,m,0,0,0,0,0,0,C,False,True,5,False,0,N,1r03r03032,pesos,0,0.0,8,0.888888888889,4
D,I,0,C,S,0,0,0,V,True,False,4,False,12,V,especialista,Cada,6,0.857142857143,0,0.0,0
N,C,C,S,0,0,0,0,V,False,False,12,True,7,V,aprende,especialista,5,0.714285714286,1,0.142857142857,4
V,M,I,P,3,S,0,0,V,False,False,7,False,1,V,a,aprende,4,0.571428571429,2,0.285714285714,0
S,P,S,0,0,0,0,0,V,False,False,1,True,8,C,trabajar,a,3,0.428571428571,3,0.428571428571,1
V,M,N,0,0,0,0,0,C,False,False,8,False,2,V,en,trabajar,2,0.285714285714,4,0.571428571429,0
S,P,S,0,0,0,0,0,C,False,False,2,False,6,V,equipo,en,1,0.142857142857,5,0.714285714286,0
N,C,M,S,0,0,0,0,V,False,True,6,False,0,N,1r03r03032,equipo,0,0.0,6,0.857142857143,4
N,P,0,0,0,0,0,0,C,True,False,5,False,1,C,y,Calor,6,0.857142857143,0,0.0,0
C,C,0,0,0,0,0,0,C,False,False,1,False,3,C,sol,y,5,0.714285714286,1,0.142857142857,0
N,C,M,S,0,0,0,0,C,False,False,3,True,12,C,contrastarán,sol,4,0.571428571429,2,0.285714285714,4
V,M,I,F,3,P,0,0,C,False,False,12,False,3,C,con,contrastarán,3,0.428571428571,3,0.428571428571,2
S,P,S,0,0,0,0,0,C,False,False,3,False,6,C,tiempo,con,2,0.285714285714,4,0.571428571429,1
N,C,M,S,0,0,0,0,V,False,False,6,False,6,C,fresco,tiempo,1,0.142857142857,5,0.714285714286,1
A,Q,0,M,S,0,0,0,V,False,True,6,False,0,N,1r03r03032,fresco,0,0.0,6,0.857142857143,4
N,P,0,0,0,0,0,0,V,True,False,9,True,4,C,pegó,Chinchudo,5,0.833333333333,0,0.0,4
V,M,I,S,3,S,0,0,C,False,False,4,False,7,V,amplias,pegó,4,0.666666666667,1,0.166666666667,0
A,Q,0,F,P,0,0,0,C,False,False,7,False,9,C,trompadas,amplias,3,0.5,2,0.333333333333,2
N,C,F,P,0,0,0,0,C,False,False,9,False,2,V,al,trompadas,2,0.333333333333,3,0.5,0
S,P,S,0,0,0,0,0,C,False,False,2,False,4,V,aire,al,1,0.166666666667,4,0.666666666667,0
N,C,M,S,0,0,0,0,V,False,True,4,False,0,N,1r03r03032,aire,0,0.0,5,0.833333333333,4
N,C,M,P,0,0,0,0,C,True,False,7,False,2,C,de,Cientos,6,0.857142857143,0,0.0,2
S,P,S,0,0,0,0,0,V,False,False,2,False,9,V,edificios,de,5,0.714285714286,1,0.142857142857,0
N,C,M,P,0,0,0,0,C,False,False,9,False,2,C,se,edificios,4,0.571428571429,2,0.285714285714,4
P,0,0,0,0,0,0,0,V,False,False,2,True,9,C,reducirán,se,3,0.428571428571,3,0.428571428571,0
V,M,I,F,3,P,0,0,C,False,False,9,False,1,V,a,reducirán,2,0.285714285714,4,0.571428571429,0
S,P,S,0,0,0,0,0,V,False,False,1,False,9,V,escombros,a,1,0.142857142857,5,0.714285714286,0
N,C,M,P,0,0,0,0,C,False,True,9,False,0,N,1r03r03032,escombros,0,0.0,6,0.857142857143,4
V,M,I,P,3,S,0,0,V,True,False,8,False,7,V,energía,Contagia,3,0.75,0,0.0,3
N,C,F,S,0,0,0,0,V,False,False,7,False,1,C,y,energía,2,0.5,1,0.25,0
C,C,0,0,0,0,0,0,C,False,False,1,False,6,C,fervor,y,1,0.25,2,0.5,1
N,C,M,S,0,0,0,0,C,False,True,6,False,0,N,1r03r03032,fervor,0,0.0,3,0.75,4
C,S,0,0,0,0,0,0,V,True,False,6,True,5,C,sopla,Cuando,8,0.888888888889,0,0.0,1
V,M,I,P,3,S,0,0,V,False,False,5,False,6,C,viento,sopla,7,0.777777777778,1,0.111111111111,1
N,C,M,S,0,0,0,0,V,False,False,6,False,5,C,norte,viento,6,0.666666666667,2,0.222222222222,1
N,C,M,S,0,0,0,0,V,False,False,5,False,3,C,las,norte,5,0.555555555556,3,0.333333333333,4
D,A,0,F,P,0,0,0,C,False,False,3,False,8,C,personas,las,4,0.444444444444,4,0.444444444444,1
N,C,F,P,0,0,0,0,C,False,False,8,True,7,C,cambian,personas,3,0.333333333333,5,0.555555555556,4
V,M,I,P,3,P,0,0,C,False,False,7,False,2,C,su,cambian,2,0.222222222222,6,0.666666666667,1
D,P,3,C,S,0,0,0,V,False,False,2,False,14,C,comportamiento,su,1,0.111111111111,7,0.777777777778,1
N,C,M,S,0,0,0,0,V,False,True,14,False,0,N,1r03r03032,comportamiento,0,0.0,8,0.888888888889,4
S,P,S,0,0,0,0,0,V,True,False,2,False,3,C,día,De,9,0.9,0,0.0,1
N,C,M,S,0,0,0,0,V,False,False,3,False,1,V,o,día,8,0.8,1,0.1,1
C,C,0,0,0,0,0,0,V,False,False,1,False,2,C,de,o,7,0.7,2,0.2,1
S,P,S,0,0,0,0,0,V,False,False,2,False,5,C,noche,de,6,0.6,3,0.3,1
N,C,F,S,0,0,0,0,V,False,False,5,True,8,C,desandar,noche,5,0.5,4,0.4,4
V,M,N,0,0,0,0,0,C,False,False,8,False,7,C,Sarandí,desandar,4,0.4,5,0.5,1
N,P,0,0,0,0,0,0,C,False,False,7,True,2,V,es,Sarandí,3,0.3,6,0.6,4
V,S,I,P,3,S,0,0,C,False,False,2,False,2,V,un,es,2,0.2,7,0.7,1
D,I,0,M,S,0,0,0,C,False,False,2,False,6,C,placer,un,1,0.1,8,0.8,1
N,C,M,S,0,0,0,0,C,False,True,6,False,0,N,1r03r03032,placer,0,0.0,9,0.9,4
V,M,I,P,3,P,0,0,C,True,False,9,False,3,C,las,Desbordan,5,0.833333333333,0,0.0,3
D,A,0,F,P,0,0,0,C,False,False,3,False,13,C,restricciones,las,4,0.666666666667,1,0.166666666667,1
N,C,F,P,0,0,0,0,C,False,False,13,False,2,V,en,restricciones,3,0.5,2,0.333333333333,2
S,P,S,0,0,0,0,0,C,False,False,2,False,2,C,la,en,2,0.333333333333,3,0.5,1
D,A,0,F,S,0,0,0,V,False,False,2,False,5,C,cueva,la,1,0.166666666667,4,0.666666666667,1
N,C,F,S,0,0,0,0,V,False,True,5,False,0,N,1r03r03032,cueva,0,0.0,5,0.833333333333,4
V,M,I,S,3,P,0,0,C,True,False,11,False,13,C,declaraciones,Difundieron,2,0.666666666667,0,0.0,1
N,C,F,P,0,0,0,0,C,False,False,13,False,12,V,incendiarias,declaraciones,1,0.333333333333,1,0.333333333333,1
A,Q,0,F,P,0,0,0,C,False,True,12,False,0,N,1r03r03032,incendiarias,0,0.0,2,0.666666666667,4
D,A,0,M,S,0,0,0,C,True,False,2,True,10,V,abigarrado,El,5,0.833333333333,0,0.0,0
V,M,P,0,0,S,M,0,V,False,False,10,False,5,C,texto,abigarrado,4,0.666666666667,1,0.166666666667,1
N,C,M,S,0,0,0,0,V,False,False,5,True,8,C,complace,texto,3,0.5,2,0.333333333333,3
V,M,I,P,3,S,0,0,V,False,False,8,False,2,V,al,complace,2,0.333333333333,3,0.5,0
S,P,S,0,0,0,0,0,C,False,False,2,False,6,C,lector,al,1,0.166666666667,4,0.666666666667,0
N,C,M,S,0,0,0,0,C,False,True,6,False,0,N,1r03r03032,lector,0,0.0,5,0.833333333333,4
D,A,0,M,S,0,0,0,C,True,False,2,False,8,V,ambiente,El,6,0.857142857143,0,0.0,0
N,C,M,S,0,0,0,0,V,False,False,8,True,7,V,ofrecía,ambiente,5,0.714285714286,1,0.142857142857,3
V,M,I,I,1,S,0,0,V,False,False,7,False,4,C,gran,ofrecía,4,0.571428571429,2,0.285714285714,1
A,Q,0,C,S,0,0,0,C,False,False,4,False,8,C,variedad,gran,3,0.428571428571,3,0.428571428571,1
N,C,F,S,0,0,0,0,C,False,False,8,False,2,C,de,variedad,2,0.285714285714,4,0.571428571429,2
S,P,S,0,0,0,0,0,V,False,False,2,False,8,C,recursos,de,1,0.142857142857,5,0.714285714286,1
N,C,M,P,0,0,0,0,C,False,True,8,False,0,N,1r03r03032,recursos,0,0.0,6,0.857142857143,4
D,A,0,M,S,0,0,0,C,True,False,2,False,9,V,atletismo,El,4,0.8,0,0.0,0
N,C,M,S,0,0,0,0,V,False,False,9,True,8,C,comparte,atletismo,3,0.6,1,0.2,3
V,M,I,P,3,S,0,0,V,False,False,8,False,2,V,el,comparte,2,0.4,2,0.4,0
D,A,0,M,S,0,0,0,C,False,False,2,False,5,C,honor,el,1,0.2,3,0.6,0
N,C,M,S,0,0,0,0,C,False,True,5,False,0,N,1r03r03032,honor,0,0.0,4,0.8,4
D,A,0,M,S,0,0,0,C,True,False,2,False,7,C,billete,El,9,0.9,0,0.0,1
N,C,M,S,0,0,0,0,V,False,False,7,False,2,C,de,billete,8,0.8,1,0.1,2
S,P,S,0,0,0,0,0,V,False,False,2,False,4,C,cien,de,7,0.7,2,0.2,1
Z,0,0,0,0,0,0,0,C,False,False,4,True,9,V,aparecerá,cien,6,0.6,3,0.3,3
V,M,I,F,3,S,0,0,C,False,False,9,False,5,V,antes,aparecerá,5,0.5,4,0.4,1
S,P,S,0,0,0,0,0,C,False,False,5,False,2,C,de,antes,4,0.4,5,0.5,3
S,P,S,0,0,0,0,0,V,False,False,2,False,3,C,fin,de,3,0.3,6,0.6,1
N,C,M,S,0,0,0,0,C,False,False,3,False,2,C,de,fin,2,0.2,7,0.7,2
S,P,S,0,0,0,0,0,V,False,False,2,False,3,V,año,de,1,0.1,8,0.8,0
N,C,M,S,0,0,0,0,V,False,True,3,False,0,N,1r03r03032,año,0,0.0,9,0.9,4
D,A,0,M,S,0,0,0,C,True,False,2,False,6,C,blanco,El,7,0.875,0,0.0,1
N,C,M,S,0,0,0,0,V,False,False,6,True,8,C,requiere,blanco,6,0.75,1,0.125,4
V,M,I,P,3,S,0,0,V,False,False,8,False,2,V,un,requiere,5,0.625,2,0.25,0
D,I,0,M,S,0,0,0,C,False,False,2,False,4,C,paso,un,4,0.5,3,0.375,1
N,C,M,S,0,0,0,0,V,False,False,4,False,5,C,breve,paso,3,0.375,4,0.5,1
A,Q,0,C,S,0,0,0,V,False,False,5,False,3,C,por,breve,2,0.25,5,0.625,3
S,P,S,0,0,0,0,0,C,False,False,3,False,6,C,madera,por,1,0.125,6,0.75,1
N,C,F,S,0,0,0,0,V,False,True,6,False,0,N,1r03r03032,madera,0,0.0,7,0.875,4
D,A,0,M,S,0,0,0,C,True,False,2,False,8,C,cabernet,El,5,0.833333333333,0,0.0,1
N,C,M,S,0,0,0,0,C,False,False,8,True,2,V,es,cabernet,4,0.666666666667,1,0.166666666667,1
V,S,I,P,3,S,0,0,C,False,False,2,False,5,V,ideal,es,3,0.5,2,0.333333333333,0
A,Q,0,C,S,0,0,0,C,False,False,5,False,4,C,para,ideal,2,0.333333333333,3,0.5,3
S,P,S,0,0,0,0,0,V,False,False,4,False,6,C,carnes,para,1,0.166666666667,4,0.666666666667,1
N,C,F,P,0,0,0,0,C,False,True,6,False,0,N,1r03r03032,carnes,0,0.0,5,0.833333333333,4
D,A,0,M,S,0,0,0,C,True,False,2,False,6,C,cambio,El,9,0.9,0,0.0,1
N,C,M,S,0,0,0,0,V,False,False,6,False,2,C,de,cambio,8,0.8,1,0.1,2
S,P,S,0,0,0,0,0,V,False,False,2,False,3,C,las,de,7,0.7,2,0.2,1
D,A,0,F,P,0,0,0,C,False,False,3,False,10,C,costumbres,las,6,0.6,3,0.3,1
N,C,F,P,0,0,0,0,C,False,False,10,True,2,V,es,costumbres,5,0.5,4,0.4,4
V,S,I,P,3,S,0,0,C,False,False,2,False,4,C,cada,es,4,0.4,5,0.5,1
D,I,0,C,S,0,0,0,V,False,False,4,False,3,C,vez,cada,3,0.3,6,0.6,1
N,C,F,S,0,0,0,0,C,False,False,3,False,3,C,más,vez,2,0.2,7,0.7,1
R,G,0,0,0,0,0,0,C,False,False,3,False,6,C,rápido,más,1,0.1,8,0.8,1
A,Q,0,M,S,0,0,0,V,False,True,6,False,0,N,1r03r03032,rápido,0,0.0,9,0.9,4
D,A,0,M,S,0,0,0,C,True,False,2,False,8,C,cocinero,El,6,0.857142857143,0,0.0,1
N,C,M,S,0,0,0,0,V,False,False,8,True,5,C,cortó,cocinero,5,0.714285714286,1,0.142857142857,3
V,M,I,S,3,S,0,0,C,False,False,5,False,2,C,la,cortó,4,0.571428571429,2,0.285714285714,1
D,A,0,F,S,0,0,0,V,False,False,2,False,5,C,torta,la,3,0.428571428571,3,0.428571428571,1
N,C,F,S,0,0,0,0,V,False,False,5,False,3,C,con,torta,2,0.285714285714,4,0.571428571429,3
S,P,S,0,0,0,0,0,C,False,False,3,False,8,C,cuchillo,con,1,0.142857142857,5,0.714285714286,1
N,C,M,S,0,0,0,0,V,False,True,8,False,0,N,1r03r03032,cuchillo,0,0.0,6,0.857142857143,4
D,A,0,M,S,0,0,0,C,True,False,2,False,7,C,colegio,El,5,0.833333333333,0,0.0,1
N,C,M,S,0,0,0,0,V,False,False,7,False,9,C,municipal,colegio,4,0.666666666667,1,0.166666666667,1
A,Q,0,C,S,0,0,0,C,False,False,9,True,6,C,brinda,municipal,3,0.5,2,0.333333333333,3
V,M,I,P,3,S,0,0,V,False,False,6,False,9,V,educación,brinda,2,0.333333333333,3,0.5,3
N,C,F,S,0,0,0,0,C,False,False,9,False,8,C,primaria,educación,1,0.166666666667,4,0.666666666667,1
A,Q,0,F,S,0,0,0,V,False,True,8,False,0,N,1r03r03032,primaria,0,0.0,5,0.833333333333,4
D,A,0,M,S,0,0,0,C,True,False,2,False,8,C,conjunto,El,9,0.9,0,0.0,1
N,C,M,S,0,0,0,0,V,False,False,8,False,2,C,de,conjunto,8,0.8,1,0.1,2
S,P,S,0,0,0,0,0,V,False,False,2,False,3,C,las,de,7,0.7,2,0.2,1
D,A,0,F,P,0,0,0,C,False,False,3,False,7,V,escenas,las,6,0.6,3,0.3,0
N,C,F,P,0,0,0,0,C,False,False,7,False,2,C,se,escenas,5,0.5,4,0.4,4
P,0,0,0,0,0,0,0,V,False,False,2,True,7,C,reitera,se,4,0.4,5,0.5,1
V,M,I,P,3,S,0,0,V,False,False,7,False,2,V,en,reitera,3,0.3,6,0.6,1
S,P,S,0,0,0,0,0,C,False,False,2,False,2,V,el,en,2,0.2,7,0.7,0
D,A,0,M,S,0,0,0,C,False,False,2,False,6,C,galpón,el,1,0.1,8,0.8,1
N,C,M,S,0,0,0,0,C,False,True,6,False,0,N,1r03r03032,galpón,0,0.0,9,0.9,4
D,A,0,M,S,0,0,0,C,True,False,2,False,8,C,contexto,El,3,0.75,0,0.0,1
N,C,M,S,0,0,0,0,V,False,False,8,True,3,C,fue,contexto,2,0.5,1,0.25,3
V,S,I,S,3,S,0,0,V,False,False,3,False,7,C,disímil,fue,1,0.25,2,0.5,1
A,Q,0,C,S,0,0,0,C,False,True,7,False,0,N,1r03r03032,disímil,0,0.0,3,0.75,4
D,A,0,M,S,0,0,0,C,True,False,2,False,6,C,crimen,El,4,0.8,0,0.0,1
N,C,M,S,0,0,0,0,C,False,False,6,True,7,V,impulsó,crimen,3,0.6,1,0.2,3
V,M,I,S,3,S,0,0,C,False,False,7,False,3,V,una,impulsó,2,0.4,2,0.4,0
D,I,0,F,S,0,0,0,V,False,False,3,False,13,C,manifestación,una,1,0.2,3,0.6,1
N,C,F,S,0,0,0,0,C,False,True,13,False,0,N,1r03r03032,manifestación,0,0.0,4,0.8,4
D,A,0,M,S,0,0,0,C,True,False,2,False,5,C,dulce,El,6,0.857142857143,0,0.0,1
N,C,M,S,0,0,0,0,V,False,False,5,False,2,C,de,dulce,5,0.714285714286,1,0.142857142857,2
S,P,S,0,0,0,0,0,V,False,False,2,False,5,C,leche,de,4,0.571428571429,2,0.285714285714,1
N,C,F,S,0,0,0,0,V,False,False,5,True,2,V,es,leche,3,0.428571428571,3,0.428571428571,4
V,S,I,P,3,S,0,0,C,False,False,2,False,4,C,bien,es,2,0.285714285714,4,0.571428571429,1
R,G,0,0,0,0,0,0,C,False,False,4,False,9,V,argentino,bien,1,0.142857142857,5,0.714285714286,0
A,Q,0,M,S,0,0,0,V,False,True,9,False,0,N,1r03r03032,argentino,0,0.0,6,0.857142857143,4
D,A,0,M,S,0,0,0,C,True,False,2,False,6,C,futbol,El,11,0.916666666667,0,0.0,1
N,C,M,S,0,0,0,0,C,False,False,6,False,2,V,el,futbol,10,0.833333333333,1,0.0833333333333,4
D,A,0,M,S,0,0,0,C,False,False,2,False,3,C,box,el,9,0.75,2,0.166666666667,1
N,C,M,S,0,0,0,0,C,False,False,3,False,1,C,y,box,8,0.666666666667,3,0.25,0
C,C,0,0,0,0,0,0,C,False,False,1,False,2,V,el,y,7,0.583333333333,4,0.333333333333,0
D,A,0,M,S,0,0,0,C,False,False,2,False,5,C,tenis,el,6,0.5,5,0.416666666667,1
N,C,M,S,0,0,0,0,C,False,False,5,True,3,C,son,tenis,5,0.416666666667,6,0.5,4
V,S,I,P,3,P,0,0,C,False,False,3,False,3,C,los,son,4,0.333333333333,7,0.583333333333,1
D,A,0,M,P,0,0,0,C,False,False,3,False,8,C,deportes,los,3,0.25,8,0.666666666667,1
N,C,M,P,0,0,0,0,C,False,False,8,False,3,C,del,deportes,2,0.166666666667,9,0.75,1
S,P,S,0,0,0,0,0,C,False,False,3,False,5,C,siglo,del,1,0.0833333333333,10,0.833333333333,1
N,C,M,S,0,0,0,0,V,False,True,5,False,0,N,1r03r03032,siglo,0,0.0,11,0.916666666667,4
D,A,0,M,S,0,0,0,C,True,False,2,False,7,C,girasol,El,5,0.833333333333,0,0.0,1
N,C,M,S,0,0,0,0,C,False,False,7,False,7,C,también,girasol,4,0.666666666667,1,0.166666666667,4
